item,name,group,party,district,constituency,startdate,enddate,psid
Q7364077,Ron Liepert,Q488523,Conservative Party of Canada,Q16954913,Calgary Signal Hill,,,Q7364077-9D3A1BAA-D5CF-4836-94D2-3C8782430017
Q7440780,Seamus O'Regan,Q138345,Liberal Party of Canada,Q3495269,St. John's South—Mount Pearl,,,Q7440780-8CDF741F-83AF-43BE-A617-172B8A01A437
Q7704329,Terry Duguid,Q138345,Liberal Party of Canada,Q3569370,Winnipeg South,,,Q7704329-8ECDF2C6-31CF-439B-8C68-6F7A8FF841D7
Q771878,Mark Strahl,Q488523,Conservative Party of Canada,Q16957671,Chilliwack—Hope,,,Q771878-384E0DDC-0FE7-460E-913D-182F892315D6
Q774134,Jacques Gourde,Q488523,Conservative Party of Canada,Q3259970,Lévis—Lotbinière,,,Q774134-265521CC-9B40-42C7-9650-8C95FA20FCD4
Q7823611,Tony Van Bynen,Q138345,Liberal Party of Canada,Q3339132,Newmarket—Aurora,,,Q7823611-29821347-A4CF-4952-9571-DFF254008094
Q7970499,Warren Steinley,Q488523,Conservative Party of Canada,Q16990355,Regina—Lewvan,,,Q7970499-621B951D-178B-463F-8E0B-8D1C3BFD3BDD
Q8062466,Yvonne Jones,Q138345,Liberal Party of Canada,Q3214536,Labrador,,,Q8062466-1E4552D0-E542-415E-BBEC-B91D237A83E1
Q81142481,Chris Lewis,Q488523,Conservative Party of Canada,Q3058748,Essex,,,Q81142481-145D46EC-B93B-4868-8857-19D1AA09A640
Q81496,Adam van Koeverden,Q138345,Liberal Party of Canada,Q16969295,Milton,,,Q81496-E5EC3FB2-C185-4F40-B352-CA7400412E67
Q85770627,James Cumming,Q488523,Conservative Party of Canada,Q3048042,Edmonton Centre,,,Q85770627-2B132BD2-B997-4210-B2B7-2CD286566491
Q85784352,Matthew Green,Q130765,New Democratic Party,Q3126446,Hamilton Centre,,,Q85784352-C85C6FD0-771A-4A92-AF57-9B74B7479EA7
Q85793092,Philip Lawrence,Q488523,Conservative Party of Canada,Q16977243,Northumberland—Peterborough South,,,Q85793092-A7239179-83C1-4D96-8E47-D7808E16FBA8
Q955143,Francis Scarpaleggia,Q138345,Liberal Party of Canada,Q3214654,Lac-Saint-Louis,,,Q955143-2A17D977-C615-40F4-879E-A42B10C9F600
